neighborhood,neighborhood_encode
Midtown,127
Harlem,94
Clinton Hill,41
East Harlem,61
Murray Hill,137
Bedford-Stuyvesant,13
Hell's Kitchen,95
Upper West Side,202
Chinatown,35
South Slope,182
West Village,209
Williamsburg,214
Fort Greene,80
Chelsea,34
Crown Heights,51
Park Slope,151
Windsor Terrace,216
Inwood,103
East Village,64
Greenpoint,91
Bushwick,28
Flatbush,74
Lower East Side,119
Prospect-Lefferts Gardens,159
Long Island City,117
Kips Bay,112
SoHo,178
Upper East Side,201
Prospect Heights,158
Washington Heights,206
Woodside,220
Brooklyn Heights,25
Carroll Gardens,31
Gowanus,85
Flatlands,76
Cobble Hill,43
Flushing,77
Boerum Hill,19
Sunnyside,189
DUMBO,53
St. George,186
Highbridge,96
Financial District,73
Ridgewood,166
Morningside Heights,130
Jamaica,105
Middle Village,125
NoHo,144
Ditmars Steinway,54
Flatiron District,75
Roosevelt Island,169
Greenwich Village,92
Little Italy,115
East Flatbush,60
Tompkinsville,194
Astoria,4
Kensington,108
Clason Point,39
Eastchester,65
Kingsbridge,111
Two Bridges,198
Queens Village,160
Rockaway Beach,168
Forest Hills,79
Nolita,145
Woodlawn,218
University Heights,200
Gravesend,89
Gramercy,86
Allerton,0
East New York,63
Theater District,191
Concourse Village,48
Sheepshead Bay,175
Emerson Hill,70
Fort Hamilton,81
Bensonhurst,17
Tribeca,197
Shore Acres,176
Sunset Park,190
Concourse,47
Elmhurst,68
Brighton Beach,23
Jackson Heights,104
Cypress Hills,52
St. Albans,185
Arrochar,2
Rego Park,163
Wakefield,205
Clifton,40
Bay Ridge,7
Graniteville,87
Spuyten Duyvil,184
Stapleton,187
Briarwood,22
Ozone Park,150
Columbia St,45
Vinegar Hill,204
Mott Haven,134
Longwood,118
Canarsie,30
Battery Park City,6
Civic Center,37
East Elmhurst,59
New Springville,143
Morris Heights,131
Arverne,3
Cambria Heights,29
Tottenville,195
Mariners Harbor,122
Concord,46
Borough Park,20
Bayside,11
Downtown Brooklyn,57
Port Morris,155
Fieldston,72
Kew Gardens,109
Midwood,128
College Point,44
Mount Eden,135
City Island,36
Glendale,84
Port Richmond,156
Red Hook,162
Richmond Hill,164
Bellerose,15
Maspeth,123
Williamsbridge,213
Soundview,179
Woodhaven,217
Woodrow,219
Co-op City,42
Stuyvesant Town,188
Parkchester,152
North Riverdale,146
Dyker Heights,58
Bronxdale,24
Sea Gate,174
Riverdale,167
Kew Gardens Hills,110
Bay Terrace,8
Norwood,147
Claremont Village,38
Whitestone,212
Fordham,78
Bayswater,12
Navy Yard,138
Brownsville,26
Eltingville,69
Fresh Meadows,83
Mount Hope,136
Lighthouse Hill,114
Springfield Gardens,183
Howard Beach,99
Belle Harbor,14
Jamaica Estates,106
Van Nest,203
Morris Park,132
West Brighton,207
Far Rockaway,71
South Ozone Park,181
Tremont,196
Corona,50
Great Kills,90
Manhattan Beach,120
Marble Hill,121
Dongan Hills,55
Castleton Corners,33
East Morrisania,62
Hunts Point,102
Neponsit,139
Pelham Bay,153
Randall Manor,161
Throgs Neck,192
Todt Hill,193
West Farms,208
Silver Lake,177
Morrisania,133
Laurelton,113
Grymes Hill,93
Holliswood,98
Pelham Gardens,154
Belmont,16
Rosedale,171
Edgemere,67
New Brighton,140
Midland Beach,126
Baychester,10
Melrose,124
Bergen Beach,18
Richmondtown,165
Howland Hook,100
Schuylerville,173
Coney Island,49
New Dorp Beach,142
Prince's Bay,157
South Beach,180
Bath Beach,5
Jamaica Hills,107
Oakwood,148
Castle Hill,32
Hollis,97
Douglaston,56
Huguenot,101
Olinville,149
Edenwald,66
Grant City,88
Westerleigh,211
"Bay Terrace, Staten Island",9
Westchester Square,210
Little Neck,116
Fort Wadsworth,82
Rosebank,170
Unionport,199
Mill Basin,129
Arden Heights,1
Bull's Head,27
New Dorp,141
Rossville,172
Breezy Point,21
Willowbrook,215
